,ticketid
5,363930
6,363920
8,363915
9,363908
10,363900
11,363899
12,363906
13,363897
14,363892
15,363883
16,363886
17,363887
18,363890
19,363881
20,363877
21,363876
22,363874
23,363872
24,363871
25,363870
26,363869
27,363873
28,363861
29,363863
30,363851
31,363853
33,363827
34,363831
35,363833
37,363809
39,363803
41,363798
42,363773
43,363750
44,363746
47,363978
49,363844
50,363935
51,363941
52,363760
53,363977
54,363973
55,363971
56,363968
59,363966
65,360133
67,354189
70,359794
72,363664
73,363665
74,363677
76,363252
81,363756
82,363749
86,337758
87,361470
89,363736
93,362390
94,363728
98,357354
99,363157
101,351565
106,362765
107,363013
108,363134
110,363123
112,363028
115,363110
117,363108
118,357014
120,362568
122,363090
123,363087
124,362697
125,363083
128,363071
131,363066
132,363062
133,363056
136,363047
139,363023
142,362565
143,362993
147,362430
149,362959
151,362958
156,362950
159,362928
160,356726
164,362332
168,360917
180,360949
181,362100
184,362311
187,361985
190,362093
195,356472
196,360666
200,362046
202,362499
203,362019
204,362043
208,361972
209,361956
210,361933
211,361930
214,361822
215,361820
217,361707
219,361700
221,361694
222,361689
223,361692
224,361685
225,361675
227,361661
228,361652
229,361655
230,361647
231,361650
232,361645
233,361646
234,361642
235,361644
236,361643
237,361636
238,361635
239,361624
240,361625
242,361621
243,361609
245,361601
246,361592
247,361589
248,361585
249,361578
250,361574
252,361563
253,361561
254,361559
255,361557
256,361560
259,361800
260,361796
261,361795
262,361786
263,361777
265,361773
266,361770
268,361765
269,361763
271,361755
272,361754
273,361718
274,361583
277,361739
278,361727
280,356601
281,355352
284,361443
285,361540
289,355120
290,355473
291,360855
292,361423
293,361526
296,361131
297,360239
300,361512
302,361495
303,361436
307,361486
310,335190
312,356166
314,360929
317,360969
319,360906
321,361211
322,360912
327,280139
329,360377
330,360793
332,361115
337,361096
341,360843
342,360823
344,361090
346,361041
350,360363
352,352917
357,360463
359,356991
363,359193
365,353594
369,354956
370,356855
372,356036
373,360146
374,360538
375,355877
376,358770
377,355959
382,359256
387,355791
388,348849
389,359757
390,359736
393,354898
395,356473
396,359604
411,359531
416,359473
417,350988
420,358650
424,354365
428,358869
440,356962
444,358300
447,358491
450,357999
451,358746
453,357859
455,358267
459,358215
460,358211
465,358207
473,358440
479,357970
480,357971
485,357814
486,357894
487,358200
488,358197
489,358192
490,358191
493,358177
494,358179
495,358174
496,358173
497,358169
498,357825
499,358168
501,358130
502,358127
503,358120
505,358070
510,357806
512,357800
513,357797
514,357796
515,357794
516,357791
517,357787
518,357778
520,357767
521,357674
522,357670
523,357652
525,357639
527,357645
528,357633
529,357627
530,357636
533,357619
534,357601
537,357603
541,357595
542,357589
543,357765
544,357747
545,357741
546,357737
548,357715
550,357706
552,357693
553,357682
556,357582
557,357580
558,357468
559,357574
561,357570
563,357562
565,357550
566,357548
567,357539
568,357538
569,357537
570,357535
571,357519
572,357517
573,357515
574,357518
578,357530
579,357520
580,357120
581,354193
582,357398
583,357353
584,357348
585,357347
587,357350
591,357336
593,357319
594,357307
597,357263
599,357240
601,357236
602,357224
604,357213
606,357243
607,357237
608,357230
609,357233
615,357210
616,357214
617,357211
619,357202
620,357204
621,354579
625,356785
629,357051
631,357047
632,357042
633,357041
634,357039
635,357036
636,356703
637,356762
640,357021
641,357020
643,357019
645,357011
647,357006
652,356999
653,356995
654,356663
657,356984
659,356638
660,356630
661,356974
663,356967
666,356954
667,356724
668,356947
670,356940
671,356928
674,356918
675,356917
676,356915
678,356464
679,356466
681,356407
683,356400
684,356731
685,356458
686,356386
688,356720
689,356376
690,356383
691,356385
692,356381
695,356370
696,356434
699,356363
701,356357
702,356355
704,356424
705,356677
706,356675
707,356624
708,356623
710,356614
714,356609
715,356608
717,356598
719,356595
720,356587
721,356586
723,356579
724,356580
725,356578
726,355981
727,355976
728,356329
730,355970
732,355964
733,356389
734,356044
735,356035
736,356371
738,356025
739,355944
740,356014
741,355935
744,355999
747,355988
748,356343
751,356334
752,356331
753,356327
756,356316
757,356311
759,356308
760,356304
761,356298
762,356296
763,356291
764,356288
765,356286
766,356285
767,356284
768,356282
769,356273
770,356268
771,356257
772,356254
774,356211
775,356210
776,356204
777,355655
782,355652
783,355649
787,355639
788,355637
791,355624
792,355613
793,355619
794,355610
795,355678
796,355681
799,355672
801,355930
804,355667
805,355598
806,355923
808,355915
810,355913
811,355907
812,355900
814,355896
817,355889
820,355870
821,355869
822,355859
823,355854
824,355851
826,355844
827,355843
828,355841
829,355840
830,355838
831,355835
832,355829
833,355763
834,355823
835,355822
836,355820
837,355817
838,355816
839,355815
840,355814
841,355249
843,355106
844,354904
845,354902
847,355100
848,355094
849,355087
850,355085
851,355078
852,355072
854,355070
855,355068
856,355064
857,355063
858,355060
861,355051
862,355050
867,355034
868,355029
869,355024
871,355019
872,355010
874,355015
879,354988
881,354985
882,354984
884,354974
885,354971
888,354959
891,354950
893,354941
894,354936
895,354933
897,354927
899,354925
902,354915
903,354914
904,354913
905,354905
906,354835
908,354833
912,354820
913,354818
914,354817
915,354816
916,354813
918,354807
919,354805
924,354789
925,354788
927,354780
928,354776
930,354770
931,354768
933,354761
934,354758
935,354757
937,354752
939,354749
941,354745
942,354746
945,354734
946,354730
948,354719
951,354710
952,354702
955,354689
959,354663
960,354662
961,354661
962,354655
963,354654
964,354628
966,354641
967,354638
970,354625
971,354624
972,354623
977,354616
978,354503
980,354492
982,354487
983,354476
987,354464
988,354463
989,354462
991,354456
992,354455
994,354450
996,354440
997,354438
1000,354429
1001,354426
1003,354415
1008,354407
1009,354404
1012,354393
1014,354390
1015,354380
1017,354374
1018,354329
1023,354358
1025,354353
1026,354351
1029,354344
1032,354330
1034,354323
1035,354314
1037,354312
1038,354308
1040,354305
1041,354296
1042,354291
1044,354142
1045,354141
1046,354139
1047,354138
1048,354137
1049,354136
1055,354130
1056,354127
1057,354126
1059,354117
1060,354110
1064,354096
1066,354085
1068,354081
1069,354080
1071,354075
1073,354073
1074,354068
1075,354064
1076,354063
1079,354055
1080,354049
1081,354048
1084,354041
1085,354023
1087,354016
1089,354010
1090,354005
1092,354002
1093,354000
1094,353999
1096,353997
1098,353994
1099,353991
1100,353985
1101,353983
1102,353979
1103,353975
1105,353972
1106,353971
1110,353953
1111,353951
1112,353950
1113,353948
1115,353944
1116,353943
1117,353936
1118,353725
1120,353723
1121,353721
1124,353710
1125,353707
1127,353704
1128,353700
1131,353691
1132,353685
1133,353683
1134,353682
1135,353677
1136,353670
1137,353669
1138,353664
1139,353658
1140,353651
1142,353648
1144,353635
1146,353630
1147,353627
1149,353015
1153,353385
1154,353384
1155,353382
1156,353381
1157,353380
1158,353379
1159,353377
1160,353375
1161,353374
1162,353150
1163,353368
1164,353366
1167,353363
1168,353362
1169,353361
1170,353360
1172,353358
1174,353355
1176,353352
1177,353351
1178,353350
1179,353349
1180,353347
1181,353346
1182,353345
1183,353342
1184,353341
1185,353340
1186,353121
1187,353339
1188,353336
1189,353334
1190,353333
1191,353331
1192,353328
1194,353325
1195,353324
1196,353323
1197,353321
1198,353320
1199,353319
1200,353318
1201,353261
1203,353316
1205,353314
1206,353313
1207,353312
1208,353127
1210,353007
1211,353308
1212,353307
1213,353306
1214,353305
1215,353301
1216,353303
1217,353302
1219,353297
1220,353295
1221,353294
1222,353293
1223,353292
1224,353291
1225,353290
1227,353288
1228,353287
1229,353286
1230,353285
1231,353279
1233,353273
1234,353272
1235,353271
1236,353270
1238,353267
1239,353265
1240,353264
1242,353259
1244,353257
1245,353256
1246,353252
1247,353251
1248,353250
1249,353249
1250,353248
1251,353244
1252,353242
1253,353240
1254,353239
1255,353237
1256,353235
1257,353234
1258,353228
1260,353225
1261,353217
1262,353178
1263,353176
1264,353175
1265,353173
1266,353122
1267,353165
1268,353164
1269,353163
1270,353161
1272,353159
1273,353154
1274,353153
1275,352993
1276,353149
1278,353142
1279,353140
1280,353139
1281,353138
1282,353135
1283,353134
1284,352938
1285,353128
1286,353120
1287,353124
1289,353119
1291,353112
1292,353110
1293,353108
1295,352966
1296,352973
1298,353105
1299,353104
1300,353102
1302,353099
1303,353095
1304,353094
1306,353090
1307,353089
1308,353087
1310,353084
1311,353081
1312,353074
1313,353070
1316,353060
1317,353059
1318,353058
1319,353057
1320,353056
1321,353055
1322,353047
1324,353041
1325,353040
1326,353033
1328,352815
1329,352939
1330,352605
1331,352914
1333,352894
1334,352887
1336,352883
1337,352882
1340,352870
1341,352867
1344,352860
1345,352856
1346,352855
1347,352854
1348,352846
1349,352845
1350,352844
1351,352836
1352,352833
1353,352831
1354,352830
1358,352823
1360,352821
1361,352820
1362,352816
1364,352806
1365,352804
1366,352802
1369,352799
1370,352798
1371,352797
1374,352792
1377,352788
1378,352785
1379,352782
1380,352781
1381,352778
1382,352777
1383,352775
1384,352773
1387,352595
1388,352594
1389,352590
1390,352586
1392,352584
1393,352583
1394,352496
1395,352582
1398,352575
1400,352572
1402,352567
1403,352562
1404,352561
1405,352555
1406,352554
1407,352551
1411,352540
1414,352537
1415,352535
1416,352526
1419,352519
1421,352470
1422,352505
1424,352494
1425,352493
1427,352492
1429,352489
1430,352487
1431,352481
1432,352472
1433,352471
1435,352461
1436,352460
1437,352459
1438,352458
1439,352457
1440,352456
1441,352455
1445,352435
1446,352442
1447,352440
1448,352432
1449,352427
1450,352425
1451,352424
1454,352414
1455,352413
1456,352407
1457,352406
1458,352405
1460,352403
1461,352402
1462,352401
1463,352393
1464,352388
1466,352379
1469,352372
1471,352211
1472,352206
1474,352208
1475,352207
1476,352205
1477,352204
1478,352202
1479,352201
1481,352197
1482,352194
1483,352190
1484,352187
1485,352186
1486,352185
1487,352179
1488,352178
1489,352176
1490,352177
1491,352172
1492,352168
1493,352163
1494,352162
1495,352159
1496,352157
1497,352156
1499,352151
1500,352150
1501,352125
1502,352124
1503,352123
1504,352122
1505,352120
1506,352119
1508,352113
1521,351778
1523,351773
1524,351772
1525,351769
1528,351727
1530,351759
1533,351736
1536,351684
1538,351699
1541,351692
1542,351691
1544,351687
1547,351676
1548,351673
1557,351642
1559,351640
1565,351589
1570,351383
1572,351344
1579,351252
1580,351247
1586,351213
1590,351184
1591,351147
1592,342614
1594,350117
1595,351131
1597,351120
1598,351112
1599,351113
1600,349939
1601,351110
1602,351109
1606,351045
1610,351085
1612,351073
1613,351070
1626,350999
1627,350998
1630,350979
1631,350866
1636,350626
1641,350707
1645,350771
1648,350713
1651,350673
1652,350602
1661,350403
1668,350320
1671,350292
1683,350066
1706,349960
1717,349872
1719,349318
1724,349692
1739,349590
1744,349546
1751,349279
1769,349190
1785,349155
1813,349067
1816,348967
1818,348960
1822,337752
1835,348882
1856,348773
1858,348769
1867,348596
1875,348745
1876,348629
1877,348627
1948,348124
1967,348052
1990,347984
1996,347970
1998,334996
2006,347559
2016,341981
2028,341768
2039,298310
2045,347397
2059,347517
2085,347040
2133,347779
2146,347759
2149,346404
2152,327007
2156,346804
2158,347750
2172,346336
2207,347621
2217,347591
2231,343390
2238,346431
2244,334072
2246,338919
2249,339870
2258,335498
2263,341763
2279,345067
2305,346060
2326,346263
2340,341095
2360,340789
2364,345719
2370,345727
2377,346682
2378,337337
2389,331223
2394,325366
2417,306449
2422,346009
2430,337155
2441,345676
2442,343756
2449,345536
2466,299145
2475,345791
2480,345876
2517,345606
2519,345002
2547,336114
2558,344947
2597,344238
2663,309887
2728,343354
2800,344338
2801,343765
2805,343655
2806,343620
2826,274998
2836,337402
2840,341581
2841,331437
2842,342195
2843,342724
2851,342780
2859,342636
2863,340234
2864,342713
2866,300901
2870,342589
2871,342704
2885,250247
2890,341905
2898,340033
2901,339758
2909,334485
2918,341570
2923,342436
2929,342456
2949,342481
2950,342369
2956,340655
2957,340639
2963,339047
2975,340983
3005,340226
3166,338918
3171,338215
3178,335440
3196,331449
3215,306723
3238,338028
3242,337920
3248,337860
3251,300378
3258,338440
3261,338410
3264,338400
3265,338395
3266,338282
3267,338275
3268,338270
3269,338258
3271,338253
3273,338224
3275,338186
3276,338185
3278,337624
3279,337616
3280,337615
3281,337612
3282,337592
3284,337590
3285,337578
3286,337570
3289,337564
3291,337550
3294,338000
3296,337997
3298,337976
3299,337536
3300,337539
3304,337460
3305,337462
3307,337449
3308,337443
3309,337444
3310,337395
3311,337412
3312,337394
3313,337948
3314,337899
3315,337328
3317,337304
3318,337292
3319,337295
3320,337288
3321,337297
3324,337282
3325,337280
3326,337277
3329,337849
3330,337845
3331,337844
3332,337842
3334,337836
3335,337819
3336,337817
3337,337230
3338,337214
3339,337215
3341,337791
3342,337788
3344,337775
3345,337770
3346,337769
3347,337768
3349,337762
3351,337677
3352,337735
3353,337734
3354,337732
3355,337728
3356,337725
3358,337724
3359,337104
3360,337103
3361,337109
3365,337679
3366,337674
3367,337673
3368,337669
3371,337649
3372,337042
3373,337034
3374,337021
3375,337025
3380,337435
3382,337534
3384,337001
3385,336994
3386,336993
3387,336119
3389,337524
3390,336044
3391,336096
3394,336973
3395,336975
3396,336963
3397,336969
3398,337514
3399,337511
3400,336943
3401,336944
3402,336936
3403,336930
3404,336598
3405,337499
3406,337498
3407,337497
3411,336912
3412,336844
3413,336836
3419,336899
3420,336902
3421,336300
3422,336299
3424,336901
3425,336900
3427,336894
3429,336891
3432,336280
3433,336286
3434,336289
3435,336711
3438,336278
3439,336274
3440,336886
3443,333160
3444,329722
3445,336262
3446,336258
3448,336260
3449,336254
3450,336252
3451,336881
3453,336239
3454,336241
3456,336236
3457,336234
3459,336240
3462,336867
3463,336866
3464,336863
3465,336861
3467,336859
3468,336858
3469,336857
3470,336211
3472,336209
3473,336208
3475,335606
3476,335607
3479,336202
3481,336200
3482,326606
3483,335603
3484,335595
3488,327165
3491,335556
3492,336197
3494,336195
3497,335592
3498,335593
3499,335589
3501,335578
3503,336186
3504,333062
3506,336183
3507,336180
3508,336172
3509,336170
3510,336169
3511,336166
3512,336159
3513,336158
3514,336154
3516,336149
3517,284034
3519,335696
3520,336135
3521,334119
3522,336131
3524,336107
3529,336117
3531,336109
3532,336108
3536,336101
3539,336091
3545,336082
3546,336081
3548,336056
3549,335994
3551,336036
3554,336026
3556,336020
3557,336013
3558,334456
3559,336004
3560,335993
3562,335980
3565,335950
3566,335926
3567,335922
3569,335920
3574,335527
3575,335518
3576,335528
3578,335509
3579,335510
3580,335507
3581,335508
3582,335516
3585,335504
3588,335496
3591,335491
3592,335481
3593,335494
3594,335483
3595,335493
3596,335480
3597,335467
3598,335479
3599,335475
3601,335473
3602,335470
3603,335472
3604,335454
3606,335447
3608,335456
3609,335459
3610,335450
3612,335445
3613,335444
3614,335432
3615,335435
3617,335439
3620,335441
3623,335426
3624,335429
3625,335428
3626,335427
3628,335420
3629,335422
3630,335423
3631,335424
3634,335416
3635,335412
3636,335404
3637,335401
3640,335398
3641,335400
3642,335387
3644,335399
3645,335397
3646,335389
3648,335386
3650,335382
3651,335374
3652,335377
3653,335372
3655,335380
3656,335381
3657,335383
3658,335368
3659,335367
3660,335364
3662,335361
3663,335357
3664,335365
3666,335359
3668,335355
3669,335352
3670,335348
3671,335349
3672,335346
3673,335343
3676,335330
3678,335326
3680,335337
3683,335325
3691,335290
3692,335288
3694,335280
3697,335283
3698,335268
3702,335894
3703,335888
3705,335885
3706,335879
3707,335875
3708,335872
3709,335866
3710,335863
3711,332310
3712,335859
3714,335840
3715,335832
3722,334173
3726,335804
3728,335793
3729,335786
3730,335785
3732,335772
3736,335750
3737,335748
3739,335743
3740,335741
3741,335715
3742,335692
3743,335691
3746,335681
3747,335664
3750,335644
3751,335640
3752,335257
3754,335626
3755,332027
3757,327376
3758,335562
3759,335561
3760,335559
3761,335554
3762,335553
3763,335552
3764,335550
3766,335549
3767,334010
3768,335548
3769,335545
3770,335542
